Driver_ID,Name,Age,Country,Team,Championships,Races,Wins,Podiums,Career_Points,Fastest_Laps,Pole_Positions,Salary_Million_USD
85,Kevin Albon,29,Mexico,Haas,7,264,53,84,3451,26,61,19.5
86,Carlos Alonso,30,Spain,Haas,5,85,76,104,2373,20,86,29.1
87,Valtteri Ricciardo,25,Netherlands,McLaren,5,306,51,95,1019,20,88,29.4
88,Esteban Perez,35,Canada,Mercedes,1,169,64,111,4387,12,29,36.3
89,Daniel Guanyu,34,Brazil,Williams,5,91,100,118,161,18,82,38.0
90,Mick Schumacher,25,Australia,Kick Sauber,3,304,13,72,3987,17,47,32.4
91,Esteban Hulkenberg,36,Brazil,RB,4,186,55,113,297,21,65,29.0
92,Charles Guanyu,25,Japan,Alpine,6,185,3,57,2789,5,58,48.0
93,Kevin Alonso,31,China,Ferrari,7,35,105,174,3587,60,97,24.0
94,Nico Norris,34,Italy,RB,1,106,5,55,4599,20,49,18.2
95,Max Norris,41,Italy,Haas,6,64,17,92,1241,44,67,37.4
96,Esteban Tsunoda,26,Spain,Kick Sauber,4,243,103,130,3994,40,12,1.2
97,Pierre Bottas,36,Germany,Mercedes,0,121,88,123,42,23,8,10.3
98,Daniel Verstappen,38,Monaco,Red Bull,2,248,23,51,2368,24,35,44.2
99,Valtteri Tsunoda,28,Canada,Ferrari,2,210,64,83,4891,13,41,53.2
100,Kevin Verstappen,20,Finland,Kick Sauber,4,48,90,161,2494,37,45,14.8
101,Carlos Piastri,22,Mexico,Haas,1,38,32,39,3705,36,74,41.0
102,Mick Bottas,23,Japan,McLaren,2,109,40,95,3200,40,50,28.2
103,Kevin Piastri,21,China,Alpine,3,117,109,120,3286,48,3,34.2
104,Daniel Tsunoda,31,Thailand,Aston Martin,2,169,29,64,2983,29,12,50.6
105,Zhou Ocon,24,Brazil,Ferrari,1,272,17,73,1158,34,64,38.1
106,Kevin Leclerc,18,Canada,Ferrari,4,24,38,40,4652,49,71,9.0
107,Pierre Hulkenberg,35,France,Williams,1,207,36,78,3083,54,93,54.9
108,George Leclerc,41,Mexico,Haas,2,58,15,52,2203,17,12,29.9
109,Fernando Alonso,32,Finland,Red Bull,2,42,6,20,2924,55,15,38.7
110,Zhou Gasly,42,Canada,Kick Sauber,7,275,17,76,2015,33,69,23.7
111,Esteban Guanyu,32,Thailand,Kick Sauber,6,157,62,125,113,35,11,12.9
112,Charles Alonso,35,Finland,Kick Sauber,5,155,36,82,4921,56,40,30.7
113,George Sargeant,20,UK,Kick Sauber,2,245,70,145,2371,6,10,44.1
114,Charles Sargeant,42,Italy,Haas,0,144,42,109,2872,15,41,57.4
115,Mick Schumacher,24,Brazil,McLaren,3,302,77,121,4475,37,53,27.5
116,Kevin Verstappen,40,Netherlands,Ferrari,7,78,102,179,3447,56,76,54.8
117,Mick Perez,35,Australia,Haas,6,38,29,82,4218,19,69,40.6
118,Sergio Alonso,38,Monaco,Red Bull,4,259,37,40,3151,60,60,2.4
119,Valtteri Hulkenberg,34,Thailand,RB,3,276,8,88,1503,58,89,9.2
120,George Verstappen,28,Australia,Aston Martin,5,26,84,164,4662,32,38,38.5
121,George Magnussen,33,Finland,Mercedes,5,143,101,161,1124,44,13,28.7
122,George Leclerc,23,France,Williams,5,316,90,93,3014,53,97,43.4
123,Esteban Russell,36,Thailand,Red Bull,0,178,120,138,644,18,93,39.7
124,Charles Verstappen,32,France,Red Bull,5,169,110,136,1792,50,24,2.6
125,Oscar Verstappen,40,France,Williams,5,102,73,123,3181,45,55,13.5
126,Daniel Magnussen,37,Monaco,Alpine,7,131,49,74,1383,26,29,56.2
127,Valtteri Russell,37,Canada,Aston Martin,2,346,44,55,731,21,93,41.6
128,George Tsunoda,42,Australia,Haas,3,35,69,98,987,37,80,50.8
129,Valtteri Magnussen,19,Japan,Haas,2,147,64,141,1866,13,80,1.2
130,Nico Bottas,36,Brazil,Kick Sauber,7,87,119,127,9,4,80,35.9
131,Kevin Russell,23,China,Red Bull,2,44,10,29,4496,36,59,5.7
132,Oscar Albon,31,Spain,Alpine,3,326,22,67,1344,51,60,3.9
133,Mick Alonso,38,Australia,Alpine,6,89,3,47,3867,26,63,7.0
134,Daniel Albon,33,Japan,Williams,4,169,49,86,41,20,4,41.6
135,Daniel Hamilton,39,Finland,Alpine,7,330,16,91,3177,53,22,12.0
136,Mick Ocon,38,Brazil,Kick Sauber,4,208,1,4,1203,7,23,53.6
137,George Hamilton,33,China,Kick Sauber,7,212,104,163,2255,41,76,35.8
138,Logan Gasly,25,Brazil,Kick Sauber,3,235,66,98,1899,27,70,51.7
139,Charles Perez,32,France,Mercedes,6,62,0,39,3548,19,70,54.6
140,Pierre Russell,18,Italy,RB,4,86,53,102,1280,26,100,42.6
141,Charles Hamilton,34,Japan,Red Bull,5,129,75,93,1060,33,78,43.4
142,Lando Hulkenberg,38,Germany,Ferrari,1,17,76,107,950,1,4,24.0
143,Nico Tsunoda,37,Germany,Mercedes,6,260,29,103,2417,42,89,29.2
144,Zhou Guanyu,19,Finland,Williams,1,297,88,115,613,39,10,55.2
145,Pierre Schumacher,31,Germany,Haas,2,301,46,47,3206,44,28,25.1
146,Esteban Hulkenberg,19,Germany,RB,0,104,86,130,2172,58,62,39.1
147,Yuki Magnussen,20,Spain,Haas,5,109,81,136,3648,3,5,18.1
148,Pierre Hulkenberg,39,Germany,Williams,1,346,92,133,2780,43,18,2.0
149,Charles Bottas,34,Germany,RB,7,251,32,40,3934,5,77,28.8
150,Max Bottas,28,Mexico,Ferrari,4,48,96,138,163,57,74,23.5
151,Lando Hamilton,42,Mexico,Aston Martin,2,324,30,55,1478,21,26,32.2
152,Logan Schumacher,25,China,Mercedes,7,172,75,133,813,38,91,11.2
153,Daniel Alonso,38,Canada,Kick Sauber,3,315,22,53,2526,59,59,11.0
154,George Ocon,19,Spain,Mercedes,4,161,50,102,1233,24,25,14.0
155,Max Bottas,30,Australia,Red Bull,0,343,72,112,3816,10,50,52.1
156,Lewis Hamilton,41,Mexico,Ferrari,7,63,74,146,4970,53,18,29.5
157,Carlos Ocon,36,Brazil,Williams,1,107,113,178,4032,22,29,18.9
158,Logan Ricciardo,22,UK,Williams,1,267,29,66,850,30,22,47.3
159,Lando Albon,26,China,Red Bull,5,10,106,131,2385,46,61,33.3
160,Max Ocon,41,Monaco,Mercedes,3,189,114,171,3208,35,62,56.3
161,Oscar Ricciardo,20,Finland,Kick Sauber,2,264,83,93,179,57,33,40.1
162,Lando Guanyu,34,Canada,Mercedes,0,150,73,152,4911,9,31,22.2
163,Mick Leclerc,36,France,Alpine,5,310,51,113,4587,9,16,37.5
164,Valtteri Gasly,29,China,Mercedes,6,189,115,117,3410,59,22,8.3
165,Sergio Alonso,37,Italy,Kick Sauber,3,136,20,37,1444,17,65,28.7
166,Zhou Perez,26,Thailand,Kick Sauber,5,337,44,117,3818,29,24,42.7
167,Kevin Piastri,38,Thailand,Haas,7,205,31,91,1352,19,0,24.4
168,Kevin Ricciardo,19,Canada,Williams,3,203,53,108,4776,29,81,2.9
169,Kevin Russell,40,UK,Mercedes,5,281,69,142,4964,49,18,43.6
170,Esteban Albon,38,Thailand,Alpine,3,97,84,137,1527,32,83,43.6
171,Nico Hamilton,26,France,Williams,5,318,76,140,3851,26,30,23.5
172,Fernando Guanyu,36,Thailand,Red Bull,0,151,58,60,1894,41,16,27.8
173,Valtteri Leclerc,34,Mexico,Ferrari,1,309,55,91,2107,53,54,2.1
174,Max Ocon,38,Italy,Mercedes,5,167,46,98,1678,36,74,27.2
175,Esteban Schumacher,18,Monaco,Williams,1,205,54,80,984,9,46,14.6
176,Lando Sargeant,34,UK,Aston Martin,3,168,65,103,3129,28,16,36.0
177,Alex Hamilton,36,France,Mercedes,6,150,48,124,3715,30,62,14.4
178,Sergio Perez,27,Italy,Mercedes,3,300,28,58,324,22,66,51.2
179,Lando Tsunoda,41,Finland,Aston Martin,1,327,86,124,3734,26,100,3.7
180,Charles Gasly,25,Netherlands,Aston Martin,4,310,11,77,2582,55,2,22.2
181,Valtteri Piastri,38,Italy,Mercedes,1,75,0,50,1053,48,7,11.8
182,Lewis Piastri,19,Australia,Red Bull,7,128,13,65,2114,47,2,58.7
183,Valtteri Gasly,38,Germany,McLaren,1,61,8,44,4668,3,84,53.5
184,Esteban Ocon,33,Germany,Mercedes,2,100,2,44,1938,49,10,53.9
185,Lando Gasly,37,Canada,Alpine,7,69,102,177,1045,46,55,27.2
186,George Hulkenberg,41,Japan,Ferrari,5,308,100,135,414,16,42,17.7
187,Oscar Tsunoda,34,Australia,Williams,2,125,111,123,3126,41,79,33.8
188,Oscar Leclerc,20,Finland,McLaren,3,20,83,146,3067,47,76,56.5
189,Valtteri Norris,34,Australia,Ferrari,1,163,46,67,3985,43,92,53.8
190,Pierre Hulkenberg,34,Thailand,Haas,3,203,11,70,165,19,55,32.2
191,Zhou Piastri,21,Thailand,Alpine,7,44,88,95,1463,45,5,42.3
192,Daniel Piastri,19,UK,Red Bull,6,341,76,132,3515,53,61,45.9
193,Oscar Norris,41,Italy,Mercedes,2,348,9,60,3594,18,79,54.2
194,Mick Perez,40,UK,Williams,6,254,24,66,3707,36,32,44.3
195,Fernando Gasly,26,Netherlands,McLaren,1,307,37,69,3418,33,2,13.7
196,Mick Guanyu,30,Brazil,Alpine,0,152,119,162,3236,2,50,46.6
197,Pierre Hulkenberg,38,France,Alpine,5,177,59,86,1203,2,21,18.0
198,Logan Sainz,20,Canada,Haas,0,234,3,31,4001,33,35,37.8
199,Fernando Magnussen,33,Australia,Alpine,0,177,15,26,2342,7,22,6.4
200,Daniel Perez,31,Germany,Ferrari,7,45,100,139,2235,9,41,29.0
